id,title,genres,price,image,steam_page,developer,publisher,release_date
1038280,Nobodies,Adventure/Indie,$6.99,https://steamcdn-a.akamaihd.net/steam/apps/1038280/header.jpg?t=1572444697,https://store.steampowered.com/app/1038280,Blyts,Blyts,"Sep 30, 2019"
1038240,RainDesktop,Animation & Modeling/Design & Illustration/Utilities/Early Access,$3.99,https://steamcdn-a.akamaihd.net/steam/apps/1038240/header.jpg?t=1555125547,https://store.steampowered.com/app/1038240,RainySoft,RainySoft,"Mar 18, 2019"
1039110,Ikarus,Design & Illustration/Utilities/Game Development/Early Access,,https://steamcdn-a.akamaihd.net/steam/apps/1039110/header.jpg?t=1571759964,https://store.steampowered.com/app/1039110,moonblast,moonblast,"Jul 12, 2019"
1039080,Brood,Adventure/Casual/Indie/Early Access,$4.99,https://steamcdn-a.akamaihd.net/steam/apps/1039080/header.jpg?t=1567285235,https://store.steampowered.com/app/1039080,Light Fox Games,Light Fox Games,"Apr 2, 2019"
1039060,pepeizq's Cities,Indie/Strategy/Early Access,$5.99,https://steamcdn-a.akamaihd.net/steam/apps/1039060/header.jpg?t=1571078172,https://store.steampowered.com/app/1039060,pepeizq,pepeizq,"Apr 12, 2019"
1039040,Copperbell,Action/Adventure/Casual/Indie,$9.99,https://steamcdn-a.akamaihd.net/steam/apps/1039040/header.jpg?t=1571050450,https://store.steampowered.com/app/1039040,Zero Fun,Zero Fun,"Jul 31, 2019"
1038850,Boom! Boom!,Action/Casual/Indie,$4.99,https://steamcdn-a.akamaihd.net/steam/apps/1038850/header.jpg?t=1567916468,https://store.steampowered.com/app/1038850,Grégory Joerger,Grégory Joerger,"Sep 5, 2019"
1038830,Author Clicker,Casual/Indie,$1.99,https://steamcdn-a.akamaihd.net/steam/apps/1038830/header.jpg?t=1556085684,https://store.steampowered.com/app/1038830,SunshineOvercast,SunshineOvercast,"Mar 14, 2019"
1038820,拯救大魔王2:逆流 Falsemen2:Upstream,Adventure/Indie/RPG,,https://steamcdn-a.akamaihd.net/steam/apps/1038820/header.jpg?t=1564071029,https://store.steampowered.com/app/1038820,吃了就睡工作室,吃了就睡工作室,Unrealeased
1038810,GOD WARS The Complete Legend,Adventure/RPG/Simulation,$29.99,https://steamcdn-a.akamaihd.net/steam/apps/1038810/header.jpg?t=1568962486,https://store.steampowered.com/app/1038810,"KADOKAWA GAMES, LTD.","KADOKAWA GAMES, LTD.","Jun 13, 2019"
1038740,Fluffy Store,Adventure/Casual/Indie/RPG,$1.99,https://steamcdn-a.akamaihd.net/steam/apps/1038740/header.jpg?t=1568103278,https://store.steampowered.com/app/1038740,AsicxArt,SakuraGame,"Aug 14, 2019"
1039650,Sharp X Mind,Action/Adventure,,https://steamcdn-a.akamaihd.net/steam/apps/1039650/header.jpg?t=1551823014,https://store.steampowered.com/app/1039650,Eat People Not Animals,Eat People Not Animals,Unrealeased
1039580,超级焊工 ( Super Welder ),Action/Casual/Indie,$2.99,https://steamcdn-a.akamaihd.net/steam/apps/1039580/header.jpg?t=1562943292,https://store.steampowered.com/app/1039580,BlockGames,BlockGames,"May 20, 2019"
1039570,Find the Oil Racing Edition,Adventure/Casual/Indie/Racing/Simulation/Sports,$1.99,https://steamcdn-a.akamaihd.net/steam/apps/1039570/header.jpg?t=1554120377,https://store.steampowered.com/app/1039570,Atomic Fabrik,Atomic Fabrik,"Apr 1, 2019"
1039560,Amanda's Sticker Book 2 - Amazing Wildlife,Action/Casual/Indie/Strategy,$2.39,https://steamcdn-a.akamaihd.net/steam/apps/1039560/header.jpg?t=1569509568,https://store.steampowered.com/app/1039560,e-FunSoft Games,HH-Games,"Mar 11, 2019"
